Label,URL
1,http://dbs.vote-friend.com/sg?ref=anything
0,https://www.reynoldstransfer.com/versa-lift-fork-truck/
1,https://www.halisupportservice.com/Login.php
0,https://www.signets.com.br/wp-includes/wlwmanifest.xml
1,https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true
0,https://www.iwestco.com/virtual-consult/
1,https://is.gd/N19JOz
1,https://httpsservices.runescape.com-ov.ru/
1,https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands
0,https://www.millect.com/Plans/tabid/76/Default.aspx
0,https://www.sttas.com/
1,https://facebookcase1477777.web.app/appeal.html
0,https://www.cytranet.com/category/blog/index.html
1,https://oximedica.com/wp-includes/imgs/att.php
1,http://myetherwallets.kr/wallet
0,https://pervouralsk.interra.ru/
1,https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/
0,https://www.bright-group.ru/team/
1,http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html
0,https://www.copyright.com/
0,https://www.inner-calm.co.uk/
1,https://linktr.ee/Midasbuyvip
1,http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php
0,https://www.organicgourmetbcn.com/
0,https://www.three-f.co.jp/contact/
0,https://www.keramidaslaw.com/auto-insurance-defense-lawyer/
1,https://olx.bolxgift.online
0,https://www.hitachi.com/New/cnews/index.html
0,https://www.epcollab.org/
0,https://www.spokanecounty.org/9/How-Do-I
1,http://jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com/
1,https://www.trilife.space/com/images/secure/online/fulls.php
1,https://ezreadtampcraez.com/jp/aol.html?email=jdoe1@emailhost.c
1,https://bit.ly/2R7AugZ
0,https://www.vgsi.com/taxpayer-info/
0,https://www.devastudios.com/work
0,https://www.factoryautomation.com/cpanel
1,https://olx.pl-savedpay.xyz/delivery/351502756
1,http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/surf2.php
0,https://www.audiblemagic.com/article-17/
1,https://uniswap.walletsconnectors.com/swap.html#/swap
1,https://odumzat.cn/pc/MUFG_pcselectcard.html
1,http://cambodiatraining.com/redirect/
1,https://www.recipient-authorisation-secure.com/Login.php
0,https://www.parksjones.com/educational-videos/
1,https://drive.google.com/file/d/1ik3UxH3RDigwAr7D269WVkoWp17Cci1n/edit
1,http://kinstationery.com/4tr/login.php?ul=_LkeFUq_VJOXRTIPtoGYDw17dsfsfd18&fid.18InboxLight.aspxn.1774256418&fid.1r245964252813InboxLight94552_Product-email&email=nobody@mycraftmail.com
1,https://services.oldschool.com-12.ru/m=forum/forums.ws4877492211802836667223
0,https://www.sjoukedijkstra.nl/infra/straatwerk
0,https://www.therapie-weidenhof.at/de/aktuelles/
1,https://www.isamayy.com/oro/
0,https://www.southerncef.org/html/promotional_materials.html
1,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/
0,https://www.megamidia.com.br/live-content/
1,https://bit.ly/2TcKWEr
1,https://koshiki-roguinamazn.myvnc.com/L5sMnlT
0,https://cms.tournet.com/Vendor_subscriptions/Subscriptions.html
1,http://banking.sparkasse.de-id1897ajjes9021ucnds2130213454345b0juah104zb1092uhda.xyz/spkk/
0,https://www.vptrend.cz/kategorie_vyplni/020-klasicke/
0,https://gruppovis.it/landing-page/ford-kuga-plug-in-hybrid/
1,https://clouddoc-authorize.firebaseapp.com/...xxx........./......
1,http://demo.bradescocontrol.vertitecnologia.com.br/usuarios/sign_in
0,https://www.jetair.co.uk/aircraft-charter/oil-gas-marine/crew-rotation-charters
1,https://ip-72-167-35-191.ip.secureserver.net/SWISS/b1fcf79f9e74cf0d040b2192800da433/
1,http://vetec-eu.net/bper/proces.php
1,https://switch.com.kw/.kw/
1,https://olx.pl.oferta-payment.works/get/?id=47321339
1,http://ht.ly/dBqF30qSyYt
1,https://whitefordkenworth-my.sharepoint.com/personal/bwalters_lglk_com/_layouts/15/Doc.aspx?sourcedoc={1d96cb1e-0031-41b8-8774-24bb2f7c4caa}&amp;action=default&amp;slrid=9ebb659f-7054-a000-b19b-7cb962889fc8&amp;originalPath=aHR0cHM6Ly93aGl0ZWZvcmRrZW53b3J0aC1teS5zaGFyZXBvaW50LmNvbS86bzovZy9wZXJzb25hbC9id2FsdGVyc19sZ2xrX2NvbS9FaDdMbGgweEFMaEJoM1FrdXk5OFRLb0JPN09POGhoXzd0dFZFcW56WWR1YkNBP3J0aW1lPVN3cWtEVjhuMkVn&amp;cid=2ae6d679-a1b4-4b0f-a76a-46e32d437c42
0,https://www.jillyclark.com/background.html
1,http://email302.com/l/5fc15ea15e66c082e33c48babd5a8ff601a799e6/[email?????????????????????????????????????????????????????????????????protected]tageapp.com/-/www.paypal.com/cgi-bin/
1,http://www.formbuddy.com/cgi-bin/formdisp.pl?u=Twice&amp;f=LLM
0,https://www.portofbrownsville.com/about/harbor-master-office/
1,https://buildingcorp.com.au/wp-admin/ty/
1,https://www.onlineservicefree.club/landingpage/dd263864-38a2-466a-be2f-4e5ec6c5e042/-2TxMqcOA-OhcCJ61bO8_oiYnK4c3EHuOvQ-HFC6T5E
0,https://www.anvitrade.cz/images/fb.svg
0,https://www.cabreraauto.com/new-cadillac-xt6-arecibo-pr
0,http://cooperwalinski.com/2021/01/22/3-types-of-fitness-programs-for-patients-with-severe-lower-limb-arthritis/
1,https://olx.pl-getpost.work/confirmation/payout/650927241
0,https://www.gyropalacemerrick.com/assets/favicon/safari-pinned-tab-c09e97d664f82a07a74ebf57eb221d2d1fbf46a3d53345d334f06825f9349d2f.svg
1,https://signinlogin007.wixsite.com/my-site
0,https://www.airsprung-group.co.uk/
0,https://www.akvalis.com/services/sajtfon/
1,https://info-dati-riepilogo.000webhostapp.com/
1,http://update.amazon.shopppy.xyz/mobile/homepage/
0,https://www.capdrill.com/services/exploration-drilling
1,http://dhi.it/tlajiqfe/ygffbfbq.html?mejlnyzcabb.php?qme2
0,https://www.wcloudus.com/about-white-cloud.html
1,http://timeline-1242785355.surfshop.ma/connect.html
0,https://www.oade.com/Tapers_Section/faq-mic.html
0,https://www.sapphirek12.com/software/learning-management-system/
1,http://globalskillspark.com/put//alldomain/alldomain/index.php?email=a@b.com
0,https://www.philipwilliams.co.uk/Home
0,https://www.msctrustgate.com/IDCenter.php
0,https://www.gamma-service.it/news/
1,https://situs-pemulihan05.webnode.com/
0,https://www.afxindustries.com/
0,https://www.proclinical.com/about-proclinical
1,http://www.psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home/
0,https://www.ilandcloud.com/services/locations/
0,https://www.chardonnay.com/public-charters/champagne-brunch-charter/
1,https://rotanterproclanic.live/wingdoughtmanter/mazon/fdefa
0,https://www.ldd.ca/real-estate
1,https://versementpos.ddns.net/x 00 x/315c0/
1,http://amazon.jp.abaiinsurance.cn/
1,https://loghomesnetwork.com/general/www.breeid.fr-pointcheck.secre.region-departement/d738b/index.php
0,https://www.paragonsports.com/products/radical-mp-graphene-360
1,https://fbtimeline-zs960e8oa.villalarnia.org/connect.html?timelimit=4365890f71b29bf94b7fbba8bf7f9cf2
0,https://www.fux-eg.org/kontakt/
1,https://globert.be/labanqueposale-login-secure/8cc5c/
1,https://gajanandvalves.com/.nabau/nab/login.php?
1,https://olx.pl.reg-bertu.pw/cash92215284
1,https://online.personalbanking.newappaccess-review.link/Login.php
0,https://www.readysetauction.com/policies/privacy-security/
1,https://docsharex-authorize.firebaseapp.com/common
1,https://webmaillapostemail.wixsite.com/my-site
